id	source_or_author	date_or_edition	url	machine_scope	class	verified_use	limitations
WEB4-001	Alexander Frolov, New Sources of Energy	2021	https://www.researchgate.net/publication/356969854_New_Sources_of_Energy_English_version	M2/history	S2-LATE-SECONDARY	Claims Marinov received a small 100-W Testatika in 1997 and invited Sapogin	No contemporaneous transfer source located; conflicts with earlier source chain; preserve as unsupported claim
WEB4-002	Mike Watson email on Marinov	21 Jul 2001	https://www.robkalmeijer.nl/techniek/experiments/testakica/index.html	M2	H2-WITNESS-TRANSMISSION	Says Baumann gave Marinov a small machine to play with; all observations at Linden; no quantitative test gear; <100mW mechanical estimate and ~100W resistor-heating estimate	Watson relays Marinov years later; gave-to-play-with does not prove permanent gift or 100-W rating
WEB4-003	Jupiter-Verlag/Institut für Bionik seminar programme	13 Mar 2004	https://guns.connect.fi/innoplaza/energy/conference/Schneider/Testatika.html	M5/M6b/history	A1-CONTEMPORARY-PROGRAMME	Fixes 2004 speakers/topics; states 5 Jun 1999 demo before 34 engineers/Burgdorf alumni; Weber 1984 talk with video; polymer-chain/air-ionization model	Programme proves presentation provenance, not truth of theories or historical machine output
WEB4-004	Schneider/NET-Journal Paul Baumann retrospective	Sep/Oct 2011	https://www.yumpu.com/de/document/view/4114787/paul-baumann-erbauer-der-energiemaschine-testatika-93jahrig-	M5/M6b/institutional history	S1-RECIPIENT-PUBLISHED-RETROSPECTIVE	Republishes M5 dimensions; says 4 Aug 1999/30 engineers; reproduces 2010 Methernitha reply; cites 2004 seminar/report literature	Retrospective; 1999 date/count conflicts with 2004 programme; operator output claims not metrology
WEB4-005	Allmystery preservation of Secret.tv seminar video link	2010; archive marker 2011	https://www.allmystery.de/themen/gw11473-5	ARCHIVE	A1-VIDEO-LEAD	Preserves Secret.tv URL/title for Weber+Adolf Schneider 13-Mar-2004 Testatika seminar recording	Video itself not recovered/audited; forum is provenance lead only
WEB4-006	Nuetec Testatika overview / editor translation page	current mirror	https://nuetec-forschung.de/Thesta-Distatika/Testatika.html	M2/history/archive	A1/EDITOR-MIRROR	Links TWT-V translations, HD-labelled film, companion PDFs; quotes Marinov/Nieper lead with WR Nov-1980 annotation	Editor/translator page; WR date annotation is not Marinov primary wording; claims require upstream verification
WEB4-007	Stefan Marinov NEN/Finsrud article	Jul 1996	https://www.padrak.com/ine/FINSRUD1.html	TIMELINE	P0-AUTHOR-RETROSPECTIVE	Marinov calls Testatika first functioning PM machine he saw and says constructed by Baumann in 1977	Retrospective date may describe different milestone/prototype than 1978 photographed one-disc machines
WEB4-008	Stefan Marinov Italian Testatika author-text mirror	1989 text; later mirror	https://www.slideshare.net/slideshow/l-energia-che-viene-dal-niente-stefan-marinov/2617485	M1/M2/timeline	P0-AUTHOR-TEXT-MIRROR	Says two photographed one-disc machines built in 1978 in prison; earlier lever/Zamboni-like form preceded rotating disc	Later mirror/translation; construction milestones not fully documented
WEB4-009	Albert Hauser report mirror	visit 14 Feb 1986; transmission 1986-1987	https://www.robkalmeijer.nl/techniek/experiments/testakica/index.html	M6a/provenance	P1-MIRROR	Publication chain: DIFOT-News 5 May 1986; UFO-Contact 6/1986; English version Feb 1987	Mirror/translation; direct project scans outrank technical numbers; original issues not acquired
WEB4-010	raum&zeit publisher archive + bibliography	issue 40/1989	https://www.raum-und-zeit.com/produkt/der-schweizer-ml-konverter/	PUBLICATION	A1-PUBLISHER	Confirms issue node and Kelly Magnets provenance; independent bibliography gives Marinov pp76-81 and Kelly pp82-84	Full original pages not acquired in crawl; publisher PDF is paid
WEB4-011	Nuetec HD-labelled Methernitha film link	current	https://nuetec-forschung.de/Thesta-Distatika/Testatika.html	VIDEO-ARCHIVE	A1-DIRECT-FILE-LEAD	Public page links 30-min Methernitha film labelled 1280x720 and smaller 640x360 version	Video frames not successfully downloaded/audited; native resolution vs upscale unknown
WEB4-012	Nuetec companion-document corpus	current	https://nuetec-forschung.de/Thesta-Distatika/Testatika.html	ARCHIVE	A1-DOCUMENT-LEAD	Links TWT_Marinov_Die_Gemeinde.pdf, revised Hauser/Kelly PDF, Saunier response, open eyewitness correspondence	Titles/links verified; content not yet fully parsed/visually audited
