id	source_or_author	date_or_edition	url	machine_scope	class	verified_use	limitations
WEB2-001	Don Kelly, NEN Dis-Information letter	Aug 1998	https://www.padrak.com/ine/NEN_6_4_12.html	M6/MX/Kelly-history	S1-AUTHOR-SELF-CORRECTION	Kelly says an early horseshoe-magnets-near-twin-discs depiction from Magnets was later shown incorrect; rejects radium-chloride story in his source network	Retrospective Kelly statement; does not negate independently observed magnets on named M2/M6 variants
WEB2-002	raum&zeit official archive, Der Schweizer ML-Konverter	issue 40/1989; describes Kelly Aug 1987 Magnets source	https://www.raum-und-zeit.com/produkt/der-schweizer-ml-konverter/	KELLY-PROVENANCE	A1-PUBLISHER-CATALOGUE	Publisher states Kelly described Testatika in Magnets Aug 1987 and its article reproduced his electro-schematic diagram	Preview/catalogue only; original Magnets pages not acquired
WEB2-003	Kelly/Bailey Magnets Pros and Cons reference	Dec 1988 pp19-26	listed in 1991 IECEC paper	KELLY-PROVENANCE	P0-BIBLIOGRAPHIC	Exact acquisition target: More About the Swiss M-L Converter: Pros and Cons	Original issue/pages still unacquired
WEB2-004	New Energy News / Don Kelly prototype note	Nov 1998 Vol6 No6	https://www.padrak.com/ine/ ; https://abcdocz.com/doc/178278/volume-6--number-6-issn-1075-0045-november-1998-web-page-...	REPLICATION-HISTORY	S1-PUBLICATION	Space Energy Association reported building a prototype Swiss M-L converter; later outcome not supplied	Build attempt only; no validated success
WEB2-005	Hans A. Nieper book reproducing L.L. report	1985 English edition/mirror; visit report 17 Mar 1984	https://www.scribd.com/document/131614540/33883875-Nieper-Conversion-of-Gravity-Field-Energy-Revolution-in-Technology-Medicine-and-Society-1985	M5a	W1-PUBLISHED-DIRECT-WITNESS	~110x45x60cm; ~20kg; twin ~45cm acrylic discs; 50 segment/grid positions; ~60rpm; pickups; ~10cm central rainbow-like disc; demo claims	Witness theory about neutrons/tachyons/resonance not accepted as observed mechanism; possible source dependence with M5
WEB2-006	Hans A. Nieper author chronology	1985 book	https://www.scribd.com/document/131614540/33883875-Nieper-Conversion-of-Gravity-Field-Energy-Revolution-in-Technology-Medicine-and-Society-1985	M5/M6-history	P1-AUTHOR-REPORT	Nieper says P.H. Matthey visited 20 Oct 1984 and he visited 28 Oct 1984; DVS inspected on five occasions	Individual reports/methods/object identity not all recovered; not five independent confirmations
WEB2-007	British Council UK Films database, Testatika	listed 2002	https://filmsandfestivals.britishcouncil.org/projects/testatika	ARCHIVE	A1-AUTHORITATIVE-CATALOGUE	20-min Sarah Tripp documentary; Cineworks production/distribution details	Catalogue says 2002 whereas other archive/exhibition records say 2001; film not yet audited
WEB2-008	European Film Gateway / National Library of Scotland Testatika record	listed 2001	https://europeanfilmgateway.eu/	ARCHIVE	A1-ARCHIVE-CATALOGUE	National Library of Scotland archive route; Cineworks series; documentary source	Film content not acquired/audited; exact catalogue item identifier to recover
WEB2-009	South London Gallery About Belief catalogue	2002 exhibition; film described as 2001	https://www.southlondongallery.org/exhibitions/about-belief/	ARCHIVE	A1-CONTEMPORARY-EXHIBITION	Independent date/provenance support for Sarah Tripp Testatika video	No technical machine information from catalogue text
WEB2-010	Bönisch 2003 reference to colossus2 archive	2003	https://studfile.net/preview/8197487/	ARCHIVE	P0-PUBLISHED-REFERENCE	Confirms historical colossus2 Baylor/BCM Testatika photo-archive path was an engineering-paper reference	Does not validate contents of old archive
WEB2-011	Suomi24 preservation of old colossus2 path	Mar 2003	https://keskustelu.suomi24.fi/t/423752/ikiliikkuja-on-keksitty	ARCHIVE	A1-URL-PROVENANCE	Preserves testatik.txt and directory URLs plus excerpt of old text	Forum copy; technical assertions secondary
WEB2-012	Suomi24 report of vanished phoenix.oulu.fi FTP mirror	Mar 2003	https://keskustelu.suomi24.fi/t/419517/tietaako-kukaan-mista---	ARCHIVE	A1-URL-LEAD	Reports free_energy files copied from vanished phoenix.oulu.fi FTP dating to early 1990s	User statement; actual FTP snapshot not yet acquired
WEB2-013	Targeted Testatika/Methernitha patent search	2026-08-17	public patent/search engines	ALL	NEGATIVE-SEARCH	No provenance-secure Testatika/Thesta-Distatica/Methernitha patent identified in targeted query set	Not proof no patent exists; unrelated inventors named Paul Baumann create identity confounds
WEB2-014	DIFØT current/archive ecosystem	current + later Yumpu captures	https://www.difoet.dk/	ARCHIVE	A1-ARCHIVE-LEAD	Confirms surviving DIFØT publication ecosystem and later digitized issues	Target issues 5/1986 and 14/1988 not found in this search round
WEB2-015	Engeler/Müller/Rusterholz Einsiedeln proceedings bibliographic trail	1989	https://www.padrak.com/ine/INE11.html	OFFICIAL-FILM	A1-BIBLIOGRAPHIC	Methernitha Sound Track Transcription citation with ISBN 3-9520025-1-8; structured proceedings volume corroborated by other bibliographies	Actual Testatika transcript pages still unacquired
