id	source_or_author	date_or_edition	url	machine_scope	class	verified_use	limitations
WEB11-001	Rimstar preservation of Linden Experiment relay	undated historical relay preserved online	https://rimstar.org/sdenergy/testa/lindenexp.htm	M0b / unspecified early experiment	H2	Preserves second-hand ~700-V demonstration account with closed-loop wound magnet and plate sandwich; original relayed text contains no 80-140-MHz operating-frequency statement	Two witnesses -> third-party memory letter -> web preservation; no original measurement log or independent reproduction
WEB11-002	Paul E. Potter Testatika back-engineering	later secondary reconstruction	https://www.rexresearch.com/testatik/testart.htm	MX / reconstruction	S2/I1	Source of the later claim that Linden was thought to register roughly 80-140 MHz; useful for tracing claim origin	Not a Baumann/Linden primary statement; photo/back-engineering theory, no recovered original frequency measurement
WEB11-003	Steven Dufresne / Rimstar Linden test series 1	public replication report	https://rimstar.org/sdenergy/testa/lindentests1.htm	CONTROL / M0b replication	R1	Finger-held plates gave ~0.54 V also away from magnet; plastic clamp reduced reading to zero	Does not disprove historical 700-V event, but identifies body/contact/probe artifact that must be controlled
WEB11-004	Steven Dufresne / Rimstar magnet test series 2	public replication report	https://rimstar.org/sdenergy/testa/testamagseries2.htm	CONTROL / M0b replication	R1	Powered UHF sweeps showed no Linden-scale effect; other configurations produced small conventional induced/rectified voltages and frequency-selective responses at microamp scale	Explicit powered oscillator and changed connection geometries; not an original-machine test
WEB11-005	Steven Dufresne / Rimstar magnet test series 3	public replication report	https://rimstar.org/sdenergy/testa/testatika_magnets_hv_to_dc.htm	CONTROL	R1	HV spikes converted to low-voltage DC at roughly microamp scale, demonstrating conventional pulse-energy conversion	Source-side Van de Graaff/pulse energy present; no net-energy anomaly demonstrated
WEB11-006	Albert Hauser retrospective author article	later retrospective	https://equapio.com/energie/testatika-legendaere-energiemaschine-der-methernitha/	large-family retrospective	H1/H2	Preserves Hauser location-change test and Baumann-attributed atmosphere/ions, closed-window/open-window, storm and lightning analogies	Later transcription contains numeric corruptions; qualitative operator explanation only, no source-power metrology
WEB11-007	Lucas et al. / JGR global electric circuit literature	2016-2017	https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016JD025944	CONTROL / environment	SCIENTIFIC	Supports fair-weather near-surface electric fields ~100-200 V/m and conduction-current density around pA/m2 for environmental-source bounds	Global/meteorological measurements, not Testatika-specific
WEB11-008	Baumgaertner et al. / JGR global electric circuit model	2013	https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/jgrd.50725	CONTROL / environment	SCIENTIFIC	Supports ionosphere-ground potential around 250 kV and fair-weather current-density order ~1 pA/m2	Model/global values; deliberately optimistic when used as full-column tabletop capture bound
WEB11-009	WHO electromagnetic-fields public summary	current public summary	https://www.who.int/news-room/questions-and-answers/item/radiation-electromagnetic-fields	CONTROL / environment	SCIENTIFIC-INSTITUTIONAL	Provides representative household/power-line 50-Hz electric and magnetic field scales for hidden-field input checks	Broad exposure summary, not a site-specific field survey
WEB11-010	Sensors ambient RF survey	2021	https://www.mdpi.com/1424-8220/21/23/7838	CONTROL / environment	SCIENTIFIC	Provides measured ambient RF power-density examples, including a high outdoor average around -7 dBm/m2 (~200 microW/m2), for ideal-aperture bounds	Location/band specific; ideal capture-area calculation ignores receiver losses
WEB11-011	Radio Science Schumann-resonance measurements	1990 / 2014-era literature	https://agupubs.onlinelibrary.wiley.com/doi/10.1029/RS025i006p01291	CONTROL / environment	SCIENTIFIC	Provides pT-scale Schumann-band magnetic and sub-mV/m electric field examples for order-of-magnitude natural-ELF bounds	Earth-ionosphere cavity is not a simple free-space plane wave; E*B/mu0 is only a comparison proxy
WEB11-012	NIST geomagnetic-field background	2013	https://www.nist.gov/news-events/news/2013/06/mri-phantoms-moving-next-stage	CONTROL / environment	SCIENTIFIC-INSTITUTIONAL	Supports Earth magnetic-field magnitude order ~50 microtesla for Faraday-loop bound	Background reference only; not Testatika-specific
WEB11-013	Faraday-disc energy-accounting literature	standard electrodynamics review	https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2000RG000097	CONTROL / environment	SCIENTIFIC	Supports ordinary induction/torque energy accounting: loaded electrical generation is paid by mechanical work	Not a Testatika measurement; used as null-model physics control
