id	source_or_author	date_or_edition	url	machine_scope	class	verified_use	limitations
WEB7-001	NET-Journal reproduction of Francis Bosshard interview	interview 1994; published Sep/Oct 2011	https://www.yumpu.com/de/document/view/4114787/paul-baumann-erbauer-der-energiemaschine-testatika-93jahrig-	PROVENANCE/LANGUAGE	H1/H2 OPERATOR-ADJACENT	Identifies Bosshard as Methernitha public-relations contact and preserves Baumann-through-Bosshard language about not forcing nature/electrons but creating favourable conditions	Recipient/editor reproduction 17 years later; not a circuit, not literal microscopic physics, original interview recording/notes not acquired
WEB7-002	Jupiter-Verlag archive: Welt und Menschheit im Wandel	April 1989	https://www.jupiter-verlag.ch/shop/detail_neu.php?artikel=25	EVENT	A1-PUBLISHER	Independently dates Jupiter congress title Welt und Menschheit im Wandel to April 1989	Page is for another congress contribution; does not itself prove Testatika film session
WEB7-003	Schneider 2023 Testatika book promotional extract	2023	https://www.pravda-tv.com/2023/05/testatika-und-weitere-freie-energie-geraete-video/	EVENT/PROVENANCE	S2/W1-RETROSPECTIVE	Says Francis Bosshard showed Testatika film at 1989 Aeschi Jupiter congress; points to 1994 Bosshard interview chapter	Late promotional reproduction; ratings and mechanism statements need page/source-level audit
WEB7-004	Jupiter-Verlag current book catalogue	2023 current listing	https://www.jupiter-verlag.ch/shop/auswahl_neu.php	CORPUS	A1-PUBLISHER	Lists Adolf/Inge Schneider Testatika und weitere Freie-Energie-Geräte and describes direct 13-Mar-1984 witness connection	Publisher page displays likely invalid-checksum ISBN 978-3-906571-46-7; claims require book-page audit
WEB7-005	Booklooker physical-copy catalogue	1st ed. 2023	https://www.booklooker.de/B%C3%BCcher/Adolf-und-Inge-Schneider-Technik-Schneider%2BTestatika-und-weitere-Freie-Energie-Ger%C3%A4te/id/A02K0MU101ZZ6	CORPUS	A1-BIBLIOGRAPHIC	Physical used-copy record gives ISBN 9783906571454, 274 pages, first edition 2023	Seller catalogue, not content source
WEB7-006	Kopp catalogue for Schneider book	current	https://www.kopp-verlag.de/a/testatika-und-weitere-freie-energie-geraete	CORPUS	A1-BIBLIOGRAPHIC	Gives ISBN 9783906571454 and 266 pages	Page count conflicts with physical-copy/catalogue 274; promotional engineering claims not evidence
WEB7-007	Elena Novaretti, Tutta la verità sul caso Testatika	first ed. Apr 2015; current/revised listing	https://www.gruppomacro.com/prodotti/tutta-la-verita-sul-caso-testatika	ARCHIVE/CORPUS	S2/A1	Identifies author, Andromeda, ISBN 9788868320669, 194 pages, source-collection purpose	Researcher/collector not direct witness; book claims need underlying-source audit
WEB7-008	Elena Design author site	current	https://www.elenadesign.eu/	ARCHIVE/HYPOTHESIS	S2/A1 SELF-REPORT	Author says Testatika research culminated in book, revised second edition, successor historical-material group; English translation planned	Author's physical mechanism ideas are hypotheses; site not primary Methernitha evidence
WEB7-009	Testatika groups.io migration post	2019	https://groups.io/g/testatika/topic/60555379	ARCHIVE	A1/S2	Says old-group research/book included material not previously public outside group and preserves successor-group context	Individual unpublished facts remain unverified until original messages/attachments acquired
WEB7-010	Pierre M. Matthey, Freie Energie ist in uns – nicht in Maschinen	raum&zeit issue 37, publisher archive year 1989	https://www.raum-und-zeit.com/produkt/freie-energie-ist-in-uns-nicht-in-maschinen/	WITNESS-HISTORY	P0-AUTHOR-PUBLICATION metadata	Shows later Matthey position: broad free-energy belief but criticism of machine-first attempts	Does not address Testatika directly in public preview; does not disprove 1984 visit; exact article issue-year notation may need print check
