segment_id	start_sec	end_sec	timestamp	text
M4_001	0.00	8.84	[00:00 - 00:08]	to become to come nearer to such an ideal condition of my entity but he could
M4_002	8.84	18.18	[00:08 - 00:18]	say I prefer to act and to go in this direction he had the free will and the
M4_003	18.18	30.25	[00:18 - 00:30]	free will is absolutely needed when we want to become a perfect ideal entity
M4_004	30.25	46.30	[00:30 - 00:46]	because without the free will you are forced to do things and this is not ideal
M4_005	46.30	55.62	[00:46 - 00:55]	and perfect. You should say yes to that by yourself. Self-realization. Yes, yes, yes
M4_006	55.62	64.02	[00:55 - 01:04]	yourself and you to say yes you should have the opportunity and to say
M4_007	64.02	71.98	[01:04 - 01:11]	no and then you make experiences in the direction you go and maybe you are saying
M4_008	71.98	79.90	[01:11 - 01:19]	oh it was wrong I should change this and then you come again to the same position
M4_009	79.90	85.73	[01:19 - 01:25]	and then you say yes and then it's going on the good direction and the new
M4_010	85.73	93.13	[01:25 - 01:33]	situation arises and you are again before the situation to take a decision
M4_011	93.13	108.58	[01:33 - 01:48]	what is the right decision and then you should have a guide to to compare the
M4_012	108.58	113.90	[01:48 - 01:53]	different possibilities to go which way is the best way it's good to have a
M4_013	113.90	126.52	[01:53 - 02:06]	guide a counselor a good counsel and this is the gospel for us this council we
M4_014	126.52	133.64	[02:06 - 02:13]	are orientating every time to these councils to these teachings given to
M4_015	133.64	140.16	[02:13 - 02:20]	these recommendations given to the human beings and so they make
M4_016	140.18	149.53	[02:20 - 02:29]	experiences with them and we start in ourselves to build up out of the chaos
M4_017	149.53	159.77	[02:29 - 02:39]	a well organized world everybody you and you and I everybody of us is
M4_018	159.79	176.15	[02:39 - 02:56]	representing his own world much more than we see and here we have found out a very
M4_019	176.15	186.55	[02:56 - 03:06]	good way to practice it do that and of course human beings it is not every time
M4_020	186.57	198.30	[03:06 - 03:18]	going so it's going so you understand what I mean but I am repeating every problem
M4_021	198.30	208.65	[03:18 - 03:28]	when we try it seriously to resolve according to our spiritual rules and
M4_022	208.65	215.93	[03:28 - 03:35]	guidance then we after the problem when it is resolved we have learned something
M4_023	216.43	231.34	[03:36 - 03:51]	we are one one step near to the aim we have one stone placed more one stone
M4_024	231.34	239.95	[03:51 - 03:59]	more placed on the good place in this building of well organized marvelous
M4_025	239.97	255.95	[03:59 - 04:15]	new and then at the end of these processes comes a word a sentence and Jesus Christ
M4_026	255.95	268.10	[04:15 - 04:28]	when he died on the cross he said it is fulfilled it has a very deep rooted
M4_027	268.12	277.68	[04:28 - 04:37]	meaning on different levels but one meaning was that the building up of his
M4_028	277.68	287.57	[04:37 - 04:47]	world as a human being walking around us but with the spiritual mission his
M4_029	287.59	299.66	[04:47 - 04:59]	mission was fulfilled his world was completed the sixth day was finished
M4_030	299.66	310.27	[04:59 - 05:10]	and now he entered in the seventh day the day of rest a question what do you
M4_031	310.29	324.12	[05:10 - 05:24]	think will be after that after the seventh day a new cycle perhaps a better one
M4_032	324.12	330.36	[05:24 - 05:30]	after the experiences and guidance from the last we can build up on a well
M4_033	330.36	338.68	[05:30 - 05:38]	organized world after that and no more start by the chaos right after the
M4_034	338.70	346.70	[05:38 - 05:46]	seventh day comes the eighth day and then the next the second week and the number
M4_035	346.70	358.64	[05:46 - 05:58]	eight has indeed has had indeed only partially still nowadays symbolic
M4_036	358.66	369.72	[05:58 - 06:09]	signification of the illimited of the limitation you know the laying eight will
M4_037	369.72	383.99	[06:09 - 06:23]	mean infinite infinite and the church's in the primitive Christian times we
M4_038	383.99	395.84	[06:23 - 06:35]	know every church has the ground sign as the cross yeah and the Greek church has
M4_039	395.84	404.80	[06:35 - 06:44]	the cross the symmetric cross not one arm longer yeah the Greek church and when
M4_040	404.80	413.26	[06:44 - 06:53]	you have such a cross when you connect the four arms then you have an octagon
M4_041	413.80	421.78	[06:53 - 07:01]	and it was this meaning in the church that's the house of the Lord there should
M4_042	421.78	429.44	[07:01 - 07:09]	leave the spirit of the Lord much more concentrated and denser and effective
M4_043	429.44	438.28	[07:09 - 07:18]	and stronger than in the world where yeah we are running to work and to
M4_044	438.28	448.73	[07:18 - 07:28]	gain money and all this and in this house or at this place human beings can get
M4_045	448.73	460.90	[07:28 - 07:40]	your their basics to practice that what is needed to for a breakthrough to this
M4_046	460.90	470.74	[07:40 - 07:50]	limitations of material life and the breakthrough will mean also before to
M4_047	470.74	480.26	[07:50 - 08:00]	accomplish the new world the individual world to reach the end of the sixth
M4_048	480.26	483.62	[08:00 - 08:03]	day to
