segment_id	start_sec	end_sec	timestamp	text
M3_001	0.02	10.02	[00:00 - 00:10]	He has received this faculty and this chance from above, and he should serve with it the others.
M3_002	10.02	18.02	[00:10 - 00:18]	And the more he can serve in a better way the others, the more he can be lucky to have this opportunity.
M3_003	18.02	24.02	[00:18 - 00:24]	But it is not to take more than the others, you see.
M3_004	24.02	32.02	[00:24 - 00:32]	And of course, you know, it is not every time so ideal as I tell it.
M3_005	32.02	36.02	[00:32 - 00:36]	We are all human beings.
M3_006	36.02	43.02	[00:36 - 00:43]	And sometimes someone saying, oh, I have worked very hard
M3_007	43.02	49.02	[00:43 - 00:49]	and I need only two or three pairs of shoes.
M3_008	49.02	55.02	[00:49 - 00:55]	And this one, he works not so hard like myself.
M3_009	55.02	60.02	[00:55 - 01:00]	And he has eight pairs of shoes.
M3_010	60.02	70.02	[01:00 - 01:10]	Yes, then you should learn to live with such differences.
M3_011	70.02	76.02	[01:10 - 01:16]	Because the same level for human beings in everything,
M3_012	76.02	83.01	[01:16 - 01:23]	it is impossible because it's not the nature of human beings.
M3_013	83.01	86.01	[01:23 - 01:26]	The same level. Everybody is different.
M3_014	86.01	91.01	[01:26 - 01:31]	And he was created so and it is right.
M3_015	91.01	102.01	[01:31 - 01:42]	So the whole nature, we have how many different kinds of flowers that exist, not the only one.
M3_016	102.01	105.01	[01:42 - 01:45]	Only the family of the lilies.
M3_017	105.01	111.01	[01:45 - 01:51]	There are more than 20,000 different kinds of lilies.
M3_018	111.01	113.01	[01:51 - 01:53]	Always different requirements.
M3_019	113.01	116.01	[01:53 - 01:56]	Yes, exactly.
M3_020	116.01	120.01	[01:56 - 02:00]	It is right that there are differences.
M3_021	120.01	128.01	[02:00 - 02:08]	And we should learn to acknowledge it and to be content with that.
M3_022	128.01	137.01	[02:08 - 02:17]	And to learn our possibilities and to learn to bring in them gladly
M3_023	137.01	142.01	[02:17 - 02:22]	and not to look what the others think.
M3_024	142.01	146.01	[02:22 - 02:26]	That is a good, good life school.
M3_025	146.01	148.01	[02:26 - 02:28]	Very good life school.
M3_026	148.01	161.07	[02:28 - 02:41]	It is on the same level as our religion, our belief.
M3_027	161.07	171.07	[02:41 - 02:51]	Because what is uniting us is our belief of the Christian basics.
M3_028	171.07	178.07	[02:51 - 02:58]	We believe that there is a creator who makes everything.
M3_029	178.07	183.49	[02:58 - 03:03]	And the Lord God, this is not a name.
M3_030	183.49	193.49	[03:03 - 03:13]	This is an expression, a term to give a word to such a thing.
M3_031	193.49	198.49	[03:13 - 03:18]	We should learn to understand better.
M3_032	198.49	204.74	[03:18 - 03:24]	How can we understand that something we do never see it?
M3_033	204.74	207.74	[03:24 - 03:27]	And we cannot speak with it.
M3_034	207.74	213.74	[03:27 - 03:33]	We have to learn to see it and we have to learn to speak with it.
M3_035	213.74	223.78	[03:33 - 03:43]	But what is much easier is to build up connection bridges, communication bridges
