segment_id	start_sec	end_sec	timestamp	text
M2_001	0.00	19.71	[00:00 - 00:19]	And when I learned to know this community here, this collective, I thought now it doesn't function with human beings, right?
M2_002	19.71	42.14	[00:19 - 00:42]	And I was amazed. It was functioning and so long as I stayed here to function, it's functioning so long as people are living here with this principle which has chosen this principle.
M2_003	42.14	64.14	[00:42 - 01:04]	But of course it's not sure that it continues forever because on this world everything is changing and human beings grow older and young people come up and they share maybe not the same principles with the elders.
M2_004	64.14	86.21	[01:04 - 01:26]	It is a question of generation, of the change of generations. If young people says yes for us, it is important as for you, we share your ideas, your principles, we will do as you have done until now.
M2_005	86.21	100.21	[01:26 - 01:40]	We will do whatever we do with the purpose to serve the others. And I ask for me nothing else than that what I need and that.
M2_006	100.21	108.21	[01:40 - 01:48]	We are existing now as a collective 50 years.
M2_007	108.21	132.21	[01:48 - 02:12]	The problem of the new generation, it is. And I do not know yet how the future is going on. For the moment everything is well. But tomorrow and after tomorrow I do not know.
M2_008	132.21	152.49	[02:12 - 02:32]	But it needs every time an effort of everybody in such a community to continue on the same principles every time and it is, it's not automatically functioning.
M2_009	152.49	181.55	[02:32 - 03:01]	Now we need the next decision of everybody living here and the will to fear responsibility and not only the egoistic way to look for themselves, for oneself.
M2_010	181.55	204.97	[03:01 - 03:24]	And this principle as I told you is well functioning. Everybody of us is doing what is needed to organize that is not so easy for a start but it was growing in a harmonious way and now it functions easily.
M2_011	204.97	227.19	[03:24 - 03:47]	Of course we are human beings and sometimes here is a problem, sometimes here is a problem, all the problems are leading in ourselves but these problems can be resolved and so long as they can be resolved such a community is a living community.
M2_012	227.19	250.06	[03:47 - 04:10]	The heart is, yes. And everything we do, we do for the others. We have the heart to compare to a huge family that is the most easy way to understand our system.
M2_013	250.06	275.02	[04:10 - 04:35]	In a family there is, we say that father, mother, two children. Good. Father is going to work to gain money. Mother is maybe 15% of the time and one of the kids is just helping and helps to look for the younger.
M2_014	275.02	297.43	[04:35 - 04:57]	Good is functioning. He brings 100% of that what he does in money. In the family the other brings 50% of that what he does in money. In the family there is much, much to do.
M2_015	297.43	321.59	[04:57 - 05:21]	To cook, to clean the house, to wash laundry, the garden and to look for the kids and so on and so on and they share all these duties. Yes, they share them.
M2_016	321.59	342.90	[05:21 - 05:42]	And the money which is coming in, they make a plan. These for food, these for clothes, these for travels, these for taxes, these for medicine and so on.
M2_017	342.90	356.90	[05:42 - 05:56]	And it is the money coming in. The father does not say, I bring in 100% and you owe the 50% I have the right to have more.
M2_018	356.90	374.90	[05:56 - 06:14]	Now everybody does something. The mother, the other 50% they are working in the house most and everything she does has not to be done by another to be paid.
M2_019	374.90	397.48	[06:14 - 06:37]	It is also a virtue bringing money, but indirectly. The kids are helping surely also in the garden and such a family is functioning.
M2_020	397.48	419.38	[06:37 - 06:59]	One part is working in the household and the other part is working outdoors and bringing money and everything they need is paid from the money which is coming and they do in the same way.
M2_021	419.38	444.38	[06:59 - 07:24]	At the beginning 50 years ago one part of them were going outdoors to work in several working places and they broke the money. It was given in the same spot and then was paid everything what was needed for everybody.
M2_022	444.38	461.38	[07:24 - 07:41]	We have a central kitchen to make food for everybody. We have a refrigerator, we eat together. We have a central laundry room to wash for everybody.
M2_023	461.38	476.38	[07:41 - 07:56]	Of course we have to put names on the laundry and the clothes and we have a storage place to hide.
M2_024	476.38	494.38	[07:56 - 08:14]	Yes, yes, and all what is needed that we have in our clothes in a good order. The garden and everybody does something and a part of us was going outdoors and bringing money.
M2_025	494.38	510.38	[08:14 - 08:30]	And this money served was serving to buy food, to buy clothes, to pay taxes, to do everything what was needed and it was functioning like in a huge family.
M2_026	510.38	526.38	[08:30 - 08:46]	And you know, not everybody brings in the same amount of money like the others. We do not look, we do not make a difference. If someone brings more money in...
