segment_id	start_sec	end_sec	timestamp	text
M6_001	0.00	19.25	[00:00 - 00:19]	Yes, this is the osmotic law of nature, of physics and the body uses this law when blood
M6_002	19.25	27.37	[00:19 - 00:27]	is coming into a cell by this membrane from the other cell she receives, then she has
M6_003	27.37	36.61	[00:27 - 00:36]	a high pressure, then the neighbour cell on the other side which has no yet received.
M6_004	36.61	44.53	[00:36 - 00:44]	And so they are connected by this membrane and now the osmotic pressure makes that there
M6_005	44.53	55.69	[00:44 - 00:55]	is, and through the field of these membranes that this passes and this exchange of pressure
M6_006	55.69	70.66	[00:55 - 01:10]	is made, is a very, very low tension DC electrical field also, that's marvelous and much more things
M6_007	70.66	82.38	[01:10 - 01:22]	we do not yet know, even if medicine science is just much advanced, they learn that in
M6_008	82.38	89.10	[01:22 - 01:29]	everything they are detecting and finding out there arises new questions.
M6_009	89.10	98.02	[01:29 - 01:38]	Yes, yes, it's interesting.
M6_010	98.02	110.02	[01:38 - 01:50]	And alternative energy is a question of energy on these electrical fields and here also we
M6_011	110.02	120.62	[01:50 - 02:00]	tried an alternative in social levels to live according to other rules and some of us in
M6_012	120.62	134.23	[02:00 - 02:14]	their free time were asking themselves could we find out energy which nature is giving
M6_013	134.27	150.45	[02:14 - 02:30]	to us gladly and freely, an energy without all these bad aspects as all the other energies
M6_014	150.45	161.29	[02:30 - 02:41]	because it is an energy given by nature according to the intelligence of nature itself because
M6_015	161.33	168.77	[02:41 - 02:48]	the inner law of nature is a kind of intelligence which is not the same as we have but it is
M6_016	168.77	175.01	[02:48 - 02:55]	to be known an intelligence, to be named an intelligence.
M6_017	175.01	191.50	[02:55 - 03:11]	I looked at it in this way, and so they asked nature could you service with pure electrical
M6_018	191.50	202.74	[03:11 - 03:22]	energy to do jobs as human beings are accustomed to do with electrical energy and ask nature
M6_019	202.74	215.10	[03:22 - 03:35]	of course it is to hear like fairy tale, but ask nature will mean, I tried to explain
M6_020	215.10	232.34	[03:35 - 03:52]	that to look at nature, to see nature, to get aware that there is something before me or around
M6_021	232.34	250.93	[03:52 - 04:10]	me and that this thing has its own entity and its own task and its own aim and its own right
M6_022	250.93	260.20	[04:10 - 04:20]	to be on the basic of these aims and this inner law and now the question arises what is this
M6_023	260.80	269.80	[04:20 - 04:29]	what is this inner law, what a word have you received at your first day, yeah fell it to me
M6_024	269.80	279.30	[04:29 - 04:39]	and though you do not receive words, not spoken, not verbal in verbal terms, not in written terms
M6_025	279.86	296.66	[04:39 - 04:56]	nature speaks in another way, we should observe her and now we have to build up an increasing
M6_026	296.66	308.62	[04:56 - 05:08]	interest for nature and do you know what a term has the most strong interest, how could we
M6_027	309.18	319.98	[05:09 - 05:19]	name it with another term, a most strong interest, love, yes very good that's exactly that, a most
M6_028	320.86	332.38	[05:20 - 05:32]	strong interest is love and you know if each, if someone is loving the other then we want not
M6_029	332.38	340.62	[05:32 - 05:40]	to harm the other then we want to everything what we do and how we speak to him or to her
M6_030	340.62	350.70	[05:40 - 05:50]	we want that the other likes the words coming to me and likes what I do for him or for her
M6_031	351.34	364.01	[05:51 - 06:04]	and when two human beings are loving each other they learn to know each other in this way that
M6_032	364.01	372.49	[06:04 - 06:12]	they can say when I look at you I can read in your eyes is it so, yes it's known we say it so
M6_033	373.45	385.69	[06:13 - 06:25]	ah if we can read in the eyes of the other we can recognize the desires the wants the dreams
M6_034	387.61	398.01	[06:27 - 06:38]	the thoughts and whatever is needed to learn better than the other and so we can act exactly
M6_035	398.01	408.30	[06:38 - 06:48]	on this principle to build up a communication bridge with nature and she starts to speak with us
M6_036	408.30	417.74	[06:48 - 06:57]	in this way we have to build up a strong interest and this interest will become finally more and
M6_037	417.74	426.90	[06:57 - 07:06]	more something like love and then we can understand the other without words
