segment_id	start_sec	end_sec	timestamp	text
M5_001	0.00	9.52	[00:00 - 00:09]	really a human being and then the rest looking back then looking forward to a
M5_002	9.52	18.82	[00:09 - 00:18]	new future and then the seventh day will be finished also and you are entering
M5_003	18.82	26.78	[00:18 - 00:26]	in the eighth day but it will mean limits are no more or no more as we
M5_004	26.78	34.98	[00:26 - 00:34]	know them at least maybe there will be other limits and they will be broke down
M5_005	34.98	43.62	[00:34 - 00:43]	also in a due time but we have a way we have a future there is not a dead end
M5_006	43.62	50.62	[00:43 - 00:50]	road this is what we do and energy is coming up by
M5_007	50.93	61.81	[00:50 - 01:01]	organizing organization and the better the principle we follow for to build up
M5_008	61.81	69.58	[01:01 - 01:09]	our organization the better the principle is the better and the higher will be the
M5_009	69.58	80.62	[01:09 - 01:20]	energy you gain by building up this inner order and finally you will recognize
M5_010	80.82	91.25	[01:20 - 01:31]	that not only you can build up energy that the whole creature the whole universe the
M5_011	91.25	104.66	[01:31 - 01:44]	plants the animals the stones the sea the clouds the sky everything follows the
M5_012	104.66	112.83	[01:44 - 01:52]	inner world received the day if I can speak in this matters the day when they
M5_013	112.83	120.83	[01:52 - 02:00]	were created by the Lord and they follow this word they practice this word they
M5_014	120.83	126.83	[02:00 - 02:06]	have not like we the free will they do that without
M5_015	126.83	140.63	[02:06 - 02:20]	yes without choice and energy is one of the fruits of this following of their
M5_016	140.63	151.94	[02:20 - 02:31]	principles and this energy they gives to us because it was their command the
M5_017	151.94	159.02	[02:31 - 02:39]	command to them to serve the human beings the creatures of the Lord the
M5_018	159.02	168.19	[02:39 - 02:48]	most developed creatures of the Lord his children's yeah and nature serves
M5_019	168.55	181.29	[02:48 - 03:01]	gladly if we let it serve in that way as she should and she want to serve us it
M5_020	181.29	197.82	[03:01 - 03:17]	becomes another good thing if we if we come compel compel nature to do what we
M5_021	197.82	209.38	[03:17 - 03:29]	want because nature knows how she should serve and we should ask her and we should
M5_022	209.38	218.80	[03:29 - 03:38]	give her the opportunity to serve according to its inner law and then we
M5_023	218.84	230.05	[03:38 - 03:50]	will get with this bless with this fruit she gives to us the blessing also everything
M5_024	230.05	244.00	[03:50 - 04:04]	and now I am I can speak now of free energy energy is also an electrical
M5_025	244.00	250.96	[04:04 - 04:10]	energy existing there are many other energies you know in the human body you
M5_026	251.04	263.09	[04:11 - 04:23]	have also electrical energies but not the AC DC alternating yes and low very low
M5_027	263.09	267.97	[04:23 - 04:27]	tension for instance the brains are functioning in this way the rhythm of
M5_028	267.97	277.40	[04:27 - 04:37]	your heart is functioning in this way even you are nourished by and you
M5_029	277.40	287.13	[04:37 - 04:47]	receive oxygen by the blood and the blood is running in the arterias but
M5_030	287.13	297.58	[04:47 - 04:57]	here there are no more ways they go through the free filter the cars with
M5_031	297.90	309.06	[04:57 - 05:09]	the knowledge to speak in these matters and they go from cell to cell and each
M5_032	309.06	320.98	[05:09 - 05:20]	cell human cell of the flesh has a wall around and where they come together they
M5_033	321.02	334.61	[05:21 - 05:34]	have a spot a membrane node which let pass yes and but it needs a pressure to
M5_034	334.61	344.83	[05:34 - 05:44]	pass and this pressure is made by the human body on the basic of the osmotic
M5_035	345.19	356.60	[05:45 - 05:56]	physical loss osmotic pressure you know if you are you have two containers with
M5_036	356.60	365.38	[05:56 - 06:05]	different level of water huh and then you make a connection the level will
