Datei;Pixel;Bytes;SHA256;Quelle_URL;Hinweis
01_Stefan_Marinov_mit_Testatika/Marinov_mit_zwei_Testatika_Frigidaire_1989_Seitenansicht.jpg;1065x1180;341282;3db3d7940bd02b80a8c3b1f49aa0492d7967984a9c980bdb91b0b2f01178c7de;https://rexresearch.com/MarinovLibrary/thorny_waytruth7.pdf;300-dpi-Ausschnitt aus TWT VII, reproduzierte Frigidaire-Aufnahme, S. 232 im Scan.
01_Stefan_Marinov_mit_Testatika/Marinov_mit_zwei_Testatika_RaumZeit_1989_frontal.jpg;995x1005;727439;dda1baae45c9d0aeb876eadb87493c6efccb8e17d1685c4fb96d05b57d7088c9;https://rexresearch.com/MarinovLibrary/thornywayoftruthpart6maririch.pdf;"300-dpi-Ausschnitt aus TWT VI; Raum & Zeit Nr. 39, Apr./Mai 1989, S. 59 (Scan-Seite 248). Gleiche Grundaufnahme wie mehrere Webvarianten, aber andere Reproduktion."
01_Stefan_Marinov_mit_Testatika/Marinov_mit_zwei_Testatika_rexresearch.jpg;602x559;123293;609193e160c094e9e0619e245e0e8d240a209324f904611bdad57cb06c505051;https://rexresearch.com/testatik/marinov.jpg;"Webbild; Stefan Marinov mit zwei kleinen Testatika-Maschinen."
02_Testatika_Originalfotos/10kW_Luzi_Cathomen_rexresearch.jpg;549x357;100911;9be95dd77e42e74f877b417e38d5b593a1c65001cdaf1d621c6a5f56aec09be6;https://rexresearch.com/testatik/test.jpg;"Luzi Cathomen mit größerer Testatika; Rex bezeichnet sie als 10 kW."
02_Testatika_Originalfotos/1999_8mm_1000W_Lampentest_Cabinet.jpg;1200x875;459622;4927b84bac24525522c9325eeabd5e0b8eed5eace49e9f5eafc4aca7458831b6;https://www.cabinetmagazine.org/issues/21/cabinet_021_laessing_nick_021.jpg;Hochauflösende Reproduktion eines 8-mm-Filmstills mit handschriftlicher Beschriftung.
02_Testatika_Originalfotos/300W_single_disk_rexresearch.jpg;471x374;23411;5b29b1d7a2caad625b53179a7b796ee5e3950f91493bdb36ee24dde8946aa387;https://rexresearch.com/testatik/300.jpg;Kleine Ein-Scheiben-Testatika, dort als 300 W bezeichnet.
02_Testatika_Originalfotos/30kW_Luzi_Cathomen_rexresearch.jpg;820x615;206701;3568bf541d6fc21015da6c3b403ccb3702e172890a4ebd7d8a6cb9228333de6a;https://rexresearch.com/testatik/30kwtest.jpg;"Luzi Cathomen mit großer Testatika; Rex bezeichnet sie als 30 kW."
02_Testatika_Originalfotos/3kW_1000W_Lampentest_rexresearch.jpg;703x587;66082;4147531d4387041510fc58e4c4101e7b570fe87364bbc67c08be871ad592d18a;https://rexresearch.com/testatik/1kwlamp.jpg;"Historische Aufnahme/Filmstill mit leuchtender Lampe; Beschriftung 1000 W."
02_Testatika_Originalfotos/3kW_front_rexresearch.jpg;800x609;64096;fff613e8c789d518a97d5faa69a6699b63fa5b5675b77ee85e34cb56a8671dfa;https://rexresearch.com/testatik/3kwtest1.jpg;3-kW-Testatika, Frontansicht.
02_Testatika_Originalfotos/3kW_rear_rexresearch.jpg;969x691;93885;e40437390b71ad0ce833e00ef701e2553bd217008d2836fffb472180ab0162f4;https://rexresearch.com/testatik/3kwrear.jpg;3-kW-Testatika, Rückansicht.
02_Testatika_Originalfotos/Big_Testatika2_rimstar.jpg;3434x2376;649484;34fdec3e85e585948ff993bca8ef13b852775219849c3ab426a03978bb1f248a;https://rimstar.org/sdenergy/testa/misc/Big_Testatika2.jpg;Große Testatika/Bull-Aufnahme aus der Methernitha-Werkstatt.
02_Testatika_Originalfotos/Frigidaire_1989_Testatika_historisches_Foto.jpg;1630x1275;1082974;e6fb9512c36134832153f88ec95612803e3f688490a9145c666cc02dfc67cad3;https://rexresearch.com/MarinovLibrary/thorny_waytruth7.pdf;"300-dpi-Ausschnitt aus TWT VII; Frigidaire Nr. 108, November 1989, historische Testatika-Aufnahme."
